Relative Pressure,Indoor Temperature,Indoor Humidity,Outdoor Temperature,Outdoor Humidity,Dewpoint,Windchill,Wind Speed,Wind Direction,Rain Total,Time,Date
[inHg],[∞F],[%],[∞F],[%],[∞F],[∞F],[mph],,[inch],,
30.13,83.1,57,71.6,79,64.7,71.6,0,SSW,791.03,0:00,01.08.2009
30.13,83.1,57,71.4,79,64.6,71.4,0,SE,791.03,0:05,01.08.2009
30.13,83.1,57,71.4,79,64.6,71.4,0,S,791.03,0:10,01.08.2009
30.13,83.1,57,71.7,79,64.9,71.7,0,ENE,791.03,0:15,01.08.2009
30.12,83.1,57,71.7,79,64.9,71.7,0,SE,791.03,0:20,01.08.2009
30.12,82.9,57,71.7,79,64.9,71.7,0,SSE,791.03,0:25,01.08.2009
30.12,82.9,57,71.7,80,65.3,71.7,0,NW,791.03,0:30,01.08.2009
30.13,82.9,57,71.7,80,65.3,71.7,0,S,791.03,0:35,01.08.2009
30.12,82.7,57,71.6,80,65.1,71.6,0,E,791.03,0:40,01.08.2009
30.13,82.9,57,71.4,80,64.9,71.4,0,NW,791.03,0:45,01.08.2009
30.12,82.9,57,71.4,80,64.9,71.4,0,NNE,791.03,0:50,01.08.2009
30.12,82.7,57,71.4,81,65.3,71.4,0,W,791.03,0:55,01.08.2009
30.12,82.7,57,71.4,81,65.3,71.4,0,WNW,791.03,1:00,01.08.2009
30.12,82.7,57,71.4,81,65.3,71.4,0,SSE,791.03,1:05,01.08.2009
30.12,82.9,57,71.4,81,65.3,71.4,0,SSE,791.03,1:10,01.08.2009
30.12,82.9,57,71.2,81,65.1,71.2,0,SW,791.03,1:15,01.08.2009
30.12,82.9,57,71.2,81,65.1,71.2,0,SW,791.03,1:20,01.08.2009
30.12,82.7,57,71.2,81,65.1,71.2,0,W,791.03,1:25,01.08.2009
30.12,82.7,57,71.4,81,65.3,71.4,0,SE,791.03,1:30,01.08.2009
30.12,82.7,57,71.4,81,65.3,71.4,0,SSW,791.03,1:35,01.08.2009
30.12,82.7,57,71.2,81,65.1,71.2,0,SW,791.03,1:40,01.08.2009
30.12,82.7,57,71.2,81,65.1,71.2,0,SSW,791.03,1:45,01.08.2009
30.13,82.7,57,71.2,81,65.1,71.2,0,W,791.03,1:50,01.08.2009
30.13,82.7,57,71.2,81,65.1,71.2,0,NNE,791.03,1:55,01.08.2009
30.13,82.7,57,71.2,81,65.1,71.2,0,NNW,791.03,2:00,01.08.2009
30.13,82.7,57,71.2,81,65.1,71.2,0,SSW,791.03,2:05,01.08.2009
30.13,82.7,57,71.2,81,65.1,71.2,0,WSW,791.03,2:10,01.08.2009
30.13,82.7,57,71.2,81,65.1,71.2,0,SSW,791.03,2:15,01.08.2009
30.13,82.7,57,71.2,81,65.1,71.2,0,NNW,791.03,2:20,01.08.2009
30.13,82.5,57,71.2,81,65.1,71.2,0,N,791.03,2:25,01.08.2009
30.13,82.5,57,70.8,81,64.8,70.8,0,NNW,791.03,2:30,01.08.2009
30.13,82.5,57,70.8,81,64.8,70.8,0,S,791.03,2:35,01.08.2009
30.14,82.5,57,70.8,81,64.8,70.8,0,ENE,791.03,2:40,01.08.2009
30.13,82.7,57,70.8,81,64.8,70.8,0,WSW,791.03,2:45,01.08.2009
30.14,82.5,57,71,81,64.9,71,0,NNW,791.03,2:50,01.08.2009
30.14,82.5,57,70.8,81,64.8,70.8,0,SE,791.03,2:55,01.08.2009
30.14,82.5,57,70.8,81,64.8,70.8,0,SE,791.03,3:00,01.08.2009
30.14,82.4,57,70.8,81,64.8,70.8,0,ENE,791.03,3:05,01.08.2009
30.13,82.4,57,70.7,81,64.6,70.7,0,NE,791.03,3:10,01.08.2009
30.13,82.4,57,70.7,80,64.2,70.7,0,NE,791.03,3:15,01.08.2009
30.13,82.4,57,70.5,81,64.4,70.5,0,ENE,791.03,3:20,01.08.2009
30.14,82.4,57,70.5,80,64,70.5,2.6,SSW,791.03,3:25,01.08.2009
30.14,82.2,57,70.5,80,64,70.5,0,E,791.03,3:30,01.08.2009
30.14,82.2,57,70.5,80,64,70.5,0,N,791.03,3:35,01.08.2009
30.15,82,57,70.5,79,63.7,70.5,0,SE,791.03,3:40,01.08.2009
30.15,82,57,70.3,79,63.5,70.3,1.3,SSE,791.03,3:45,01.08.2009
30.15,82,57,70.3,78,63.2,70.3,3.5,SSE,791.03,3:50,01.08.2009
30.15,81.8,56,70.3,78,63.2,70.3,0,NE,791.03,3:55,01.08.2009
